metric;neihgbours;normalization;standarization;accuracy
1;1;0;0;74.16
1;3;0;0;68.54
1;5;0;0;73.60
1;10;0;0;73.60
1;1;1;0;95.51
1;3;1;0;96.63
1;5;1;0;97.19
1;10;1;0;96.63
1;1;0;1;95.51
1;3;0;1;95.51
1;5;0;1;96.63
1;10;0;1;97.19
2;1;0;0;81.46
2;3;0;0;76.97
2;5;0;0;78.65
2;10;0;0;79.21
2;1;1;0;97.19
2;3;1;0;97.19
2;5;1;0;98.31
2;10;1;0;98.31
2;1;0;1;97.75
2;3;0;1;97.19
2;5;0;1;97.75
2;10;0;1;97.75
3;1;0;0;69.10
3;3;0;0;68.54
3;5;0;0;73.03
3;10;0;0;71.35
3;1;1;0;93.26
3;3;1;0;96.07
3;5;1;0;93.82
3;10;1;0;94.94
3;1;0;1;94.94
3;3;0;1;93.82
3;5;0;1;93.82
3;10;0;1;94.38
